"Country","Continent","Status","Life_expectancy","Adult_Mortality","infant_deaths","Alcohol","percentage_expenditure","Hepatitis_B","Measles","BMI","under_five_deaths","Polio","Total_expenditure","Diphtheria","HIV_AIDS","GDP","Population","thinness_10_19_years","thinness_5_9_years","Income_composition","Schooling","GDP_log","Population_log","Measles_log","percentage_expenditure_log","infant_deaths_log","under_five_deaths_log","n_years","Mahalanobis_Distance"
"Afghanistan","Asia","Developing",58.19375,269.0625,78.25,0.014375,34.9601100659375,64.5625,2362.25,15.51875,107.5625,48.375,8.2525,52.3125,0.1,340.01542546875,26513282,16.58125,15.58125,0.415375,8.2125,5.53227187266809,17.0804515875639,7.40697977974774,3.14999101854012,4.36577774814595,4.67899429476018,16,4.30391878326811
"Albania","Europe","Developing",75.15625,45.0625,0.6875,4.84875,193.259090710625,98,53.375,49.06875,0.9375,98.125,5.945625,98.0625,0.1,2119.726678875,2944783.4375,1.61875,1.7,0.709875,12.1375,7.01084433782675,14.8949258306997,2.12089878111157,4.60014093504346,0.476538686634962,0.649825481774949,16,5.61349932635445
"Algeria","Africa","Developing",73.61875,108.1875,20.3125,0.664375,236.185240668625,73.75,1943.875,48.74375,23.5,91.75,4.85375,91.875,0.1,2847.8533923125,34899758.6875,6.09375,5.975,0.694875,12.7125,7.45002431817785,17.3647606301071,4.91904466735268,4.68432056140104,3.05877617404251,3.19825614627898,16,0.93872548386427
"Angola","Africa","Developing",49.01875,328.5625,83.75,5.3825,102.10026837,57.0625,3561.3125,18.01875,132.625,46.125,3.85125,47.6875,2.36875,1975.14304511875,21566693.625,6.19375,6.66875,0.458375,8.04375,7.09472852974417,16.8719155249544,7.20615048992257,3.90540657088148,4.43102334608337,4.8817652461933,16,18.3050027286525
"Antigua and Barbuda","North America","Developing",75.05625,127.5,0,8.020625,1001.58522632875,98.125,0,38.425,0,96.9375,4.903125,98.3125,0.125,9759.305728125,82423.125,3.425,3.375,0.488625,8.84375,8.95845056005403,11.3180497895483,0,5.98716318513142,0,0,16,16.405192802121
"Argentina","South America","Developing",75.15625,106,10.125,8.230625,773.038981313125,76.9375,2,54.98125,11.375,93.375,6.861875,92.375,0.1,6998.575103125,40281725.9375,1.075,0.95,0.794125,16.50625,8.37745875080379,17.5102757086872,0.587539381151207,5.93943986398571,2.40143123004543,2.50866222334633,16,3.7257255448661
"Armenia","Asia","Developing",73.4,117.375,1,4.0375,131.0074187505,87.5625,274.25,44.70625,1,89.125,5.154375,87.375,0.1,1999.98631765,3103206.25,2.0375,2.1125,0.698375,11.7875,7.06738598664777,14.9476591086342,2.67786506677529,4.07911318526558,0.693147180559945,0.693147180559945,16,1.85898531865798
"Australia","Oceania","Developed",81.8125,63.1875,1,10.038125,5332.2264727375,88.125,103.9375,55.8625,1.375,86.75,8.648125,86.875,0.1,34637.565046875,21210844.0625,0.66875,0.625,0.918125,20.0375,9.76060923758799,16.8674553974844,4.1053820896771,7.41164772236113,0.693147180559945,0.845196596100507,16,9.7528872545813
"Austria","Europe","Developed",81.48125,65.75,0,12.025,4928.4391880525,81.0625,77.25,48.2875,0,86,4.995625,86.75,0.1,33827.47630875,8296243.5625,1.73125,1.9375,0.862375,15.3875,9.88906557442878,15.9310896843536,3.00938929598318,7.48785862974309,0,0,16,4.45175125285887
"Azerbaijan","Asia","Developing",70.73125,115.1875,6.0625,1.23875,131.148746914813,61.5625,598.1875,43.84375,7.1875,75.8125,5.544375,82.3125,0.1,3302.94780699375,8760319.5,2.9,2.94375,0.7026875,11.35,7.24571929623178,15.9839629735121,3.3638359445171,4.11177168608101,1.94279440396188,2.08659012423343,16,2.47988163284327
"Bahamas","North America","Developing",74.2875,152.0625,0,9.66,0,84.5,0,52.88125,0,95,6.66125,95.75,0.11875,1793.2682678125,355405.6875,2.55,2.51875,0.7379375,12.425,6.49520181326567,12.7794787220264,0,0,0,0,16,6.36763740553919
"Bahrain","Asia","Developing",75.725,65.375,0,2.1225,602.087139648875,98.125,6.6875,51.65625,0,98,3.7875,98.0625,0.1,11191.247420625,1021172.6875,6.10625,5.95,0.8079375,14.1125,8.73762536872754,13.8069639605924,1.39968614185006,5.41693368936451,0,0,16,2.85730127945165
"Bangladesh","Asia","Developing",69.3,141.375,153.625,0.01625,32.3209715146875,78,4649.9375,12.875,201.5625,87.5,2.83125,92.75,0.1,443.561481025,148022462.5625,13.775,14.33125,0.517875,8.69375,5.49503565845299,18.8115952303389,7.71551512269277,2.9045755429137,5.00086798358636,5.26082758703495,16,8.43657036849967
"Barbados","North America","Developing",74.35625,77.625,0,8.324375,389.07699521375,85,0,45.975,0,80.3125,6.2275,89.9375,0.25625,12017.098529375,271366.625,3.95625,3.91875,0.7704375,14.89375,9.14452934534607,12.5110166104632,0,5.0358966946716,0,0,16,4.27492906038276
"Belarus","Europe","Developing",69.90625,218.75,0.5625,13.218125,329.046455333125,88.9375,24.8125,54.74375,0.875,89.875,6.138125,92.1875,0.1,3811.525348,9619254.9375,2.2125,2.3375,0.74325,14.75,7.82090992772332,16.0791050749709,2.20896246480592,4.60460502372178,0.389895289064969,0.606503782989952,16,7.1034551379447
"Belgium","Europe","Developed",80.68125,70.1875,0.25,10.82875,2392.43265675625,74.5,81.5625,50.89375,1,97.75,6.1675,97.3125,0.1,16915.306,10719378.625,0.8625,0.85625,0.87775,16.7875,9.11902923184988,16.1870520788973,3.58272262172607,6.76406142506305,0.173286795139986,0.693147180559945,16,2.62272200096846
"Belize","North America","Developing",69.26875,155.5,0,6.636875,365.843489793125,94.75,0,37.675,0,95.5,5.176875,95.1875,0.43125,3933.0121745,299386.1875,3.55625,3.4875,0.6939375,12.45625,8.18874112542686,12.6021911984431,0,5.40688536145548,0,0,16,1.90643169461192
"Benin","Africa","Developing",57.56875,269.375,25,0.990625,43.99195641925,59.625,1116.875,19.6125,39.25,67.6875,4.80875,67.9375,1.70625,561.167968,9163395.75,8.25,8.1375,0.4380625,8.85,6.06122235663422,16.0210349992141,6.29314611004774,3.22593362046205,3.25809653802148,3.69505260726153,16,3.2152275665723
"Bhutan","Asia","Developing",66.1625,230.25,0.6875,0.305625,134.76406995375,94.125,80.25,17.58125,0.9375,89.375,5.359375,93.875,0.35625,1353.98694560625,677452.1875,17.21875,17.925,0.183875,10.225,6.81497071870129,13.4240672955059,2.25915636750866,4.11015532912054,0.476538686634962,0.649825481774949,16,25.365012160842
"Bolivia (Plurinational State of)","South America","Developing",67.70625,177.5,10.75,3.48625,0,82.875,7.625,44.81875,14,81.6875,5.748125,87.375,0.15625,878.1383695125,9783951.375,1.3,1.1875,0.63375,13.9625,6.0710644608392,16.0933444430688,0.300761522210776,0,2.44483234434302,2.68466163889399,16,6.09176996664784
"Bosnia and Herzegovina","Europe","Developing",75.96875,64.9375,0,4.455625,215.45745909825,71.5625,319.1875,48.9625,0,78.3125,9.004375,78.5,0.1,2245.0260235625,3922803.75,2.78125,2.75625,0.450375,12.225,7.14164144306716,15.1805298862136,3.42352800529175,4.17859004674276,0,0,16,11.3945988119818
"Botswana","Africa","Developing",56.05,448.125,2,4.61625,334.266970872187,87.3125,237.875,32.24375,3.125,96.1875,5.4025,95.8125,16.525,4498.2854311875,1938423.75,7.4375,7.8125,0.630375,12.1375,8.01567547396376,14.4737164912247,2.34469384243793,4.81645923153928,1.09861228866811,1.40208633232087,16,20.0305257210669
"Brazil","South America","Developing",73.38125,150.6875,68.25,7.1075,390.695595171875,96.1875,95.375,47.0625,77.25,98.3125,7.90125,97.9375,0.1,6143.1617935,188785207,3.05,3.0125,0.7101875,14.1625,8.23231762169366,19.0551156645097,2.4227746169522,5.0288281631428,4.19261556564139,4.31171304570446,16,1.42625160554032
"Brunei Darussalam","Asia","Developing",76.4875,67.0625,0,0.441875,1276.87948524813,97.875,7.3125,29.71875,0,97.5,2.76625,96.8125,0.1,19744.808101875,375253.4375,6.2,5.675,0.839375,14.10625,9.16073007816274,12.8321877785327,1.35567861644851,6.08898811572954,0,0,16,7.33261395493046
"Bulgaria","Europe","Developed",72.85,125.5,0.9375,10.4225,350.74520402625,94.5,1530.3125,54.5,1,94.25,7.20875,94,0.1,4938.981821375,7532413.4375,2.13125,2.15625,0.754625,13.725,8.03719293038417,15.8338451278434,2.23091318568617,4.94962550626367,0.649825481774949,0.693147180559945,16,1.84300450867833
"Burkina Faso","Africa","Developing",55.64375,252.5,44.75,4.13625,52.0455813263125,77.8125,5091.75,15.5,79.9375,69,5.9025,77.3125,1.8375,410.3720343125,15142990.9375,7.41875,6.98125,0.2296875,5.40625,5.71118569579326,16.5233669768981,6.65900260331475,3.46446561937211,3.81982843402105,4.38376503262694,16,5.98427068976424
"Burundi","Africa","Developing",55.5375,291.5625,23.25,3.94875,15.335497774875,90.25,1349.5,15.3125,35.5625,86.625,6.99875,85.75,3.0875,137.81532131875,8550166.25,8.01875,8.0125,0.327875,7.48125,4.55732559445829,15.94620095814,3.86741905129753,2.30685197964676,3.18728930208568,3.59577209704848,16,4.31218973130669
"Cabo Verde","Africa","Developing",72.51875,116.1875,0,3.23875,188.632987378187,73.25,0.125,24.375,0,84.375,4.748125,79,0.53125,2023.54103925,492691.8125,8.0125,7.975,0.57,12.2,7.2587703198853,13.106814286097,0.0686632680417569,4.42414738497041,0,0,16,4.07784549045764
"Cambodia","Asia","Developing",64.34375,196.375,16.75,1.91,33.7965609773125,75.625,1880.8125,15.3625,20.5,74.1875,5.764375,72.0625,1.025,466.19687805,13992542.1875,10.14375,10.88125,0.4919375,9.875,5.64482191723502,16.4516216626433,5.45244543907887,3.0341796087259,2.83804507583907,3.01511666661282,16,3.60647542002237
"Cameroon","Africa","Developing",54.01875,294.875,54.9375,4.125,44.4622999386875,74.3125,2979.25,23.61875,86.1875,72.5,4.834375,69.4375,6.2125,781.0160044125,18501061.5625,6.55,6.60625,0.47,8.90625,6.10047345623141,16.7249269183346,6.66636526117094,3.1938308765316,4.01974874105049,4.46122317413069,16,4.16722515478356
"Canada","North America","Developing",81.6875,64.625,2,7.984375,4694.078971425,39,129.5,55.8625,2,85.3125,6.774375,91.0625,0.1,29382.907523125,33156581.5,0.50625,0.4375,0.8921875,15.875,9.8585321933016,17.3156414805112,3.82416247457123,7.55754914594435,1.09861228866811,1.09861228866811,16,3.66744795351622
"Central African Republic","Africa","Developing",48.5125,333.0625,16.5,1.178125,40.905543112125,49.1875,699.4375,17.0875,24.5,41.3125,4.068125,42.4375,8.98125,363.05590485,4364741.6875,7.10625,7.0875,0.3355,6.2375,5.87088028189587,15.2871741128939,5.14446288919767,3.48337571397485,2.86135927497913,3.23687893749055,16,7.12198970801963
"Chad","Africa","Developing",50.3875,227.75,44.875,0.625,32.2773204970625,30,4687.75,16.31875,78.125,32.875,4.31625,26.8125,4.3375,484.79169405625,11383278.25,7.14375,7.04375,0.316625,6.0875,5.67736478318514,16.2336161310264,6.73022607939487,2.92472324564009,3.82531222223778,4.37075711024003,16,12.6571391179332
"Chile","South America","Developing",79.45,63.625,2,7.02625,775.54081278375,78.5,1.0625,55.5875,2.1875,83.625,6.9325,88.8125,0.1,6202.3443635625,16767936.3125,0.8875,0.9125,0.8013125,14.9,8.18298773560217,16.6339144161567,0.352174350198078,5.75110213499678,1.09861228866811,1.15255267725282,16,1.89789330142642
"China","Asia","Developing",74.2625,73.75,294.875,4.290625,73.5837628956875,80.4375,65857.9375,21.80625,350,93.6875,5.14,93.3125,0.1,2345.3031576875,1321237500,4.6375,4.025,0.66025,11.4375,7.15987340967462,21.0014859246887,10.8493245067044,3.50775342944199,5.6309925367514,5.79513008755885,16,6.22025191172816
"Colombia","South America","Developing",73.2875,124.25,13.875,4.14375,516.640179215,79,9.5,49.54375,16.375,84.25,6.2625,79.1875,0.1,3321.6607483125,43320622.25,2.3,2.075,0.681875,12.23125,7.53412119287945,17.5825399235435,0.690402228439018,5.38125753129192,2.68590364352849,2.83985679689365,16,1.14199828543529
"Comoros","Africa","Developing",61.58125,240.9375,1.6875,0.126875,47.7314576225,69,62.625,18.25625,2,67.8125,4.8,66.9375,0.28125,630.38433406875,626077.1875,7.275,7.1625,0.324625,9.95625,6.33605627844686,13.3429289115232,0.877729493693016,3.51961764016862,0.971904442384308,1.09861228866811,16,7.85763751785392
"Congo","Africa","Developing",59.04375,322.75,7.875,2.043125,0,50.125,1021.625,20.925,11.6875,52.4375,3.005625,55.25,4.9875,1016.93796118125,4089872,8.4875,8.125,0.5283125,10.0875,6.22390915695128,15.2121908066808,5.29626196742754,0,2.17861966037962,2.53233477545345,16,4.45581068373342
"Costa Rica","North America","Developing",78.59375,69.375,1,4.245625,972.359149879375,79.3125,0.1875,46.725,1,69.9375,8.53125,79.75,0.1,3957.22728625,4399685.0625,1.9625,1.90625,0.7369375,12.8375,7.81871391579658,15.2951484055712,0.12996509635499,5.94481773750514,0.693147180559945,0.693147180559945,16,2.82506975695601
"Croatia","Europe","Developed",76.11875,89,0,12.206875,1162.85632917,96,23.6875,52.35625,0,95.5,7.448125,95.375,0.1,9056.7847190625,4290511.625,1.74375,1.71875,0.7890625,13.8875,8.70175787871321,15.2718062749852,1.96038267098278,6.13330251041985,0,0,16,1.62654550792935
"Cuba","North America","Developing",77.975,57.5625,1,4.578125,364.563858083687,96.25,0,49.4625,1,98.6875,6.489375,93.9375,0.1,3180.4348844375,11253426.0625,3.44375,3.26875,0.742125,14.69375,7.60210596881353,16.2361693912543,0,4.93241449072017,0.693147180559945,0.693147180559945,16,2.61470063935944
"Cyprus","Asia","Developed",79.675,54.125,0,10.335625,932.6673898875,92.625,1.9375,53.1625,0,98,6.608125,98,0.1,13898.88550125,1082455.1875,0.90625,1,0.8330625,13.51875,8.99699167827881,13.8917002355701,0.46386098710279,6.0053748711962,0,0,16,3.83898390933615
"Czechia","Europe","Developed",76.76875,71.8125,0,12.78,0,96.75,22.9375,55.7125,0,98,7.054375,98.125,0.1,2662.052109975,10356508.25,1.99375,2.0625,0.8075625,15.5875,7.22144427865086,16.1530383306071,2.17243307910176,0,0,0,16,4.71001518650548
"C̫te d'Ivoire","Africa","Developing",50.3875,417.3125,61.5,3.184375,0,61.4375,1708.25,21.325,86.8125,65.9375,5.725625,68.9375,4.6875,298.08942439375,21316380.125,6.7375,6.69375,0.428,7.3375,5.20191334659036,16.8693220908967,5.55655289156186,0,4.13418180996288,4.47352601120941,16,12.4514574903147
"Democratic People's Republic of Korea","Asia","Developing",69.19375,160.8125,9.9375,3.183125,0,87.875,222.5625,25.625,12.8125,98.25,5.9575,83.25,0.1,1310.761989175,24664610,5.4375,5.45,0.577,11.49375,6.51878183959456,17.0206037022802,0.73490646696245,0,2.34692034372947,2.5728309550387,16,1.84906704097488
"Democratic Republic of the Congo","Africa","Developing",55.6875,265.375,234.5,1.336875,0,45.625,48922.6875,15.8375,323.5,55.625,3.631875,41.875,1.81875,415.92763584375,64331215.4375,8.14375,7.95625,0.281,7.18125,5.49236938991849,17.9691198434792,9.92472824750735,0,5.46155057527979,5.78202184096355,16,4.25044337630495
"Denmark","Europe","Developed",79.25625,66.0625,0,10.644375,5313.33579445625,69.5625,15.75,55.825,0,88,7.654375,88,0.1,33067.407915625,5491000.125,1.1625,0.9375,0.899875,17.19375,9.83861219175135,15.5184388260895,2.17068988909235,7.56721946908945,0,0,16,4.72077375530309
"Djibouti","Africa","Developing",60.75625,274.6875,1.4375,0.81625,98.838448121875,70.4375,113.875,26.25,1.875,74.875,6.8525,75.125,3.28125,897.99987065,886311.125,5.84375,5.7,0.4184375,4.75,6.48304364640286,13.6905309243154,3.93320266644756,4.01187508268505,0.870538165357267,1.04792915015459,16,13.0235909102035
"Dominican Republic","North America","Developing",72.34375,143.5,6.4375,6.2025,360.678997136875,65.125,23,48.14375,7.8125,75.625,4.750625,83.1875,1.41875,3509.4991863125,9519555.4375,3.46875,3.375,0.685,12.74375,7.65131481491235,16.0671009581446,0.710759062755071,5.0017792032707,2.00433013332854,2.17358744315083,16,0.59233144798716
"Ecuador","South America","Developing",74.725,132.125,7.375,4.163125,109.40605116625,78.0625,20.75,43.3125,8.75,78.75,6.130625,89.1875,0.19375,2005.3524679375,14466577.5625,1.38125,1.26875,0.698875,13.0125,6.91654301841147,16.4843829115597,0.727198655956129,3.88464282785809,2.11910454811963,2.27103274394963,16,2.00871026664355
"Egypt","Africa","Developing",71.5,170.625,56.25,0.86875,0,96.6875,1069.25,49.2625,67.625,96.6875,5.61625,96.6875,0.1,1847.5786593125,85541198.6875,3.125,3.075,0.647625,11.89375,7.0569805872813,18.2601216509224,6.0325323910701,0,4.04540373840924,4.22504440501799,16,2.34657863637806
"El Salvador","North America","Developing",71.74375,155.0625,2.5625,2.633125,341.56915731,86.0625,0.125,45.325,2.875,82.25,6.9675,87.1875,0.2875,2517.8346304375,6047152.8125,1.80625,1.725,0.6504375,12.65625,7.4926001711454,15.6150323058959,0.0686632680417569,5.19399187546952,1.25236613928004,1.32761443955041,16,0.571176046216314
"Equatorial Guinea","Africa","Developing",55.3125,279.375,3,6.900625,552.671538039375,37.625,294.5,17.85625,4,36.875,2.9,29.9375,5.1375,7902.4107885625,1069823.75,6.65625,6.6,0.5361875,8.325,7.94949070238971,13.8591954653345,3.24351861343011,5.05852901939117,1.38629436111989,1.6094379124341,16,11.3017883021846
"Eritrea","Africa","Developing",60.6875,308.625,6.3125,0.81875,6.4360693815625,87.1875,175,15.15625,8.9375,87.8125,3.544375,82.25,1.2125,392.1299650375,2757010.25,8.08125,8.01875,0.2553125,4.925,5.27138807760369,14.8244292383515,4.4168336885468,1.48289211965821,1.98506129835013,2.2920829233113,16,14.7348118404761
"Estonia","Europe","Developing",74.94375,169.6875,0,9.330625,859.575008428438,88.75,3.5,56.68125,0,94.25,5.94625,94.125,0.1,8340.4329494375,1346321.8125,2.075,2.1375,0.8233125,15.9375,8.23880365485834,14.112707867509,0.863967420475841,5.33571990591939,0,0,16,4.86877279223729
"Ethiopia","Africa","Developing",59.1125,285.5625,187.75,1.27375,32.482109182375,61.75,3948.375,14.8,288.5,51.125,4.8825,46.1875,2.725,264.97094995,84817429.375,8.38125,6.475,0.346125,6.8,5.2550574899309,18.2471905278182,7.58296092896734,2.88034433342782,5.22009042192164,5.64001915532111,16,4.71633744723629
"Fiji","Oceania","Developing",68.7125,125,0,2.185625,139.156837596937,98.875,50,50.5625,0,97.125,4.198125,91.6875,0.1,2947.612688875,891328.8125,4.09375,3.79375,0.70225,14.18125,7.63997725983139,13.7000602734653,1.47406143141065,4.13332427307287,0,0,16,5.25909665393567
"Finland","Europe","Developing",80.7125,68.875,0,9.66625,2889.3154698925,90.75,2.8125,52.3,0,97.1875,8.68625,98.25,0.1,25268.649758125,5312810.3125,0.9,0.80625,0.8729375,17.29375,9.60162526841314,15.4854592819491,0.724865917234721,6.98591006944079,0,0,16,3.84615399669239
"France","Europe","Developing",82.21875,73.125,2.9375,11.698125,3751.50657413375,51.25,2661.625,51.98125,3.4375,98.25,6.355,98.0625,0.1,26465.551380625,63989827,0.625,0.6,0.8705625,15.9,9.63084139069773,17.9738601356729,5.33290576749364,7.22813381038152,1.36831423159165,1.48391966481986,16,3.57386248125688
"Gabon","Africa","Developing",62.24375,220.4375,2,7.61375,261.077778610625,52.25,349.8125,28.81875,3,57.25,3.200625,54.5,8,5179.256188625,1613265.9375,6.91875,6.775,0.654375,12.4125,8.06923733991108,14.2829752832436,2.54013362254833,4.76915276734029,1.09861228866811,1.38629436111989,16,5.71177076570456
